hours_01_01_11,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count
82.00,1,0,1,2,6.56,6.82,69,22.0028,5,37,42
83.00,1,0,1,1,9.02,10.605,51,19.9995,7,50,57
84.00,1,0,1,1,9.02,11.365,51,11.0014,12,66,78
85.00,1,0,1,1,9.84,11.365,56,12.998,18,79,97
86.00,1,0,1,1,10.66,12.88,52,15.0013,9,54,63
87.00,1,0,1,1,11.48,13.635,52,16.9979,17,48,65
88.00,1,0,1,1,12.3,14.395,49,16.9979,15,68,83
89.00,1,0,1,1,11.48,13.635,48,15.0013,10,202,212
90.00,1,0,1,1,10.66,12.88,48,12.998,3,179,182
91.00,1,0,1,1,9.84,12.88,48,7.0015,2,110,112
92.00,1,0,1,1,9.84,12.88,48,7.0015,1,53,54
93.00,1,0,1,1,9.02,13.635,64,0,0,48,48
94.00,1,0,1,1,9.02,12.88,64,6.0032,1,34,35
95.00,1,0,1,1,8.2,11.365,69,6.0032,2,9,11
96.00,1,0,1,1,8.2,12.88,64,0,0,6,6
97.00,1,0,1,1,6.56,9.85,74,6.0032,0,6,6
98.00,1,0,1,1,6.56,9.85,74,6.0032,0,2,2
100.00,1,0,1,1,9.84,11.365,48,15.0013,0,2,2
101.00,1,0,1,1,9.02,11.365,47,11.0014,0,3,3
102.00,1,0,1,1,8.2,9.85,47,15.0013,0,33,33
103.00,1,0,1,1,7.38,9.09,43,12.998,1,87,88
104.00,1,0,1,1,8.2,9.09,40,19.9995,3,192,195
105.00,1,0,1,1,9.02,9.85,37,22.0028,6,109,115
106.00,1,0,1,1,9.02,9.85,37,22.0028,4,53,57
107.00,1,0,1,1,10.66,11.365,33,22.0028,12,34,46
108.00,1,0,1,1,10.66,11.365,33,22.0028,5,74,79
109.00,1,0,1,1,11.48,12.88,30,19.9995,6,65,71
110.00,1,0,1,1,12.3,14.395,28,12.998,10,52,62
111.00,1,0,1,1,12.3,14.395,28,12.998,7,55,62
112.00,1,0,1,1,12.3,15.91,28,6.0032,4,85,89
113.00,1,0,1,1,9.84,11.365,38,12.998,4,186,190
114.00,1,0,1,1,9.84,12.12,38,8.9981,3,166,169
115.00,1,0,1,1,9.84,12.88,38,7.0015,5,127,132
116.00,1,0,1,1,9.02,11.365,47,11.0014,7,82,89
117.00,1,0,1,1,8.2,9.85,51,12.998,3,40,43
118.00,1,0,1,1,7.38,9.85,55,8.9981,1,41,42
119.00,1,0,1,1,8.2,12.88,47,0,1,18,19
120.00,1,0,1,1,7.38,12.12,55,0,0,11,11
121.00,1,0,1,1,6.56,11.365,64,0,0,4,4
122.00,1,0,1,1,6.56,11.365,64,0,0,2,2
124.00,1,0,1,2,6.56,9.85,64,6.0032,0,1,1
125.00,1,0,1,2,5.74,9.09,69,6.0032,0,4,4
126.00,1,0,1,2,5.74,8.335,63,7.0015,0,36,36
127.00,1,0,1,2,6.56,11.365,59,0,0,95,95
128.00,1,0,1,1,6.56,11.365,59,0,3,216,219
129.00,1,0,1,2,7.38,12.12,51,0,6,116,122
130.00,1,0,1,1,8.2,12.88,47,0,3,42,45
131.00,1,0,1,1,9.02,12.88,44,6.0032,2,57,59
132.00,1,0,1,1,10.66,14.395,35,0,6,78,84
133.00,1,0,1,1,10.66,13.635,35,7.0015,12,55,67
134.00,1,0,1,1,11.48,13.635,36,11.0014,11,59,70
135.00,1,0,1,1,11.48,13.635,36,0,8,54,62
136.00,1,0,1,1,10.66,12.88,38,11.0014,12,74,86
137.00,1,0,1,1,9.02,11.365,51,11.0014,9,163,172
138.00,1,0,1,1,9.02,11.365,51,8.9981,5,158,163
139.00,1,0,1,1,9.02,12.88,55,6.0032,3,109,112
140.00,1,0,1,1,8.2,10.605,51,11.0014,3,66,69
141.00,1,0,1,2,9.02,10.605,55,15.0013,0,48,48
142.00,1,0,1,2,9.02,10.605,51,19.0012,1,51,52
143.00,1,0,1,2,8.2,9.85,59,12.998,4,19,23
144.00,1,0,1,2,8.2,9.85,64,12.998,4,13,17
145.00,1,0,1,2,8.2,9.85,69,15.0013,2,5,7
146.00,1,0,1,2,8.2,9.85,69,15.0013,0,1,1
148.00,1,0,1,2,8.2,10.605,69,8.9981,0,1,1
149.00,1,0,1,3,9.02,13.635,55,0,0,5,5
150.00,1,0,1,2,8.2,12.88,69,0,8,26,34
151.00,1,0,1,1,8.2,10.605,69,8.9981,8,76,84
152.00,1,0,1,1,8.2,9.85,51,16.9979,20,190,210
153.00,1,0,1,1,8.2,9.09,47,19.9995,9,125,134
154.00,1,0,1,1,9.02,9.85,37,22.0028,16,47,63
155.00,1,0,1,2,8.2,9.85,40,15.0013,19,48,67
156.00,1,0,1,2,8.2,9.85,37,16.9979,9,50,59
157.00,1,0,1,2,8.2,9.09,37,19.0012,9,64,73
158.00,1,0,1,2,8.2,9.85,40,16.9979,7,43,50
159.00,1,0,1,2,8.2,10.605,37,11.0014,9,63,72
160.00,1,0,1,2,8.2,10.605,37,11.0014,5,82,87
161.00,1,0,1,2,8.2,12.88,37,0,9,178,187
162.00,1,0,1,1,8.2,11.365,40,6.0032,7,116,123
163.00,1,0,1,1,6.56,9.85,55,6.0032,3,92,95
164.00,1,0,1,1,7.38,10.605,47,7.0015,1,50,51
165.00,1,0,1,1,7.38,9.85,47,8.9981,0,39,39
166.00,1,0,1,2,7.38,9.85,43,11.0014,2,34,36
167.00,1,0,1,2,7.38,9.85,51,11.0014,1,14,15
168.00,1,0,0,2,7.38,9.85,51,11.0014,1,24,25
169.00,1,0,0,2,7.38,10.605,55,6.0032,1,15,16
170.00,1,0,0,2,7.38,12.12,55,0,3,13,16
171.00,1,0,0,3,7.38,9.85,55,11.0014,0,7,7
172.00,1,0,0,3,7.38,9.85,55,11.0014,0,1,1
173.00,1,0,0,2,6.56,8.335,74,11.0014,0,5,5
174.00,1,0,0,2,6.56,8.335,74,11.0014,0,2,2
175.00,1,0,0,2,6.56,9.09,74,7.0015,1,8,9
176.00,1,0,0,3,6.56,9.09,93,7.0015,0,15,15
177.00,1,0,0,3,6.56,9.09,93,7.0015,0,20,20
178.00,1,0,0,2,7.38,9.85,80,11.0014,5,56,61
179.00,1,0,0,2,8.2,9.09,69,26.0027,2,60,62
180.00,1,0,0,2,8.2,9.09,59,23.9994,8,90,98
181.00,1,0,0,1,8.2,9.09,44,22.0028,7,95,102
182.00,1,0,0,1,8.2,8.335,32,32.9975,12,83,95
183.00,1,0,0,1,8.2,8.335,32,30.0026,5,69,74
184.00,1,0,0,1,7.38,6.82,29,30.0026,8,68,76
185.00,1,0,0,1,6.56,6.06,37,36.9974,5,64,69
186.00,1,0,0,1,5.74,6.06,39,19.9995,3,52,55
187.00,1,0,0,1,5.74,6.06,36,16.9979,4,26,30
188.00,1,0,0,1,4.92,6.06,36,16.9979,0,28,28
189.00,1,0,0,1,4.92,5.305,39,23.9994,2,35,37
190.00,1,0,0,1,4.92,5.305,36,26.0027,1,33,34
191.00,1,0,0,1,4.1,3.03,39,30.0026,0,22,22
192.00,1,0,0,1,4.1,3.79,42,26.0027,1,24,25
193.00,1,0,0,1,4.1,3.03,42,31.0009,0,12,12
194.00,1,0,0,1,4.1,3.03,46,31.0009,0,11,11
195.00,1,0,0,1,4.1,3.79,46,27.9993,0,4,4
196.00,1,0,0,1,3.28,4.545,53,12.998,0,1,1
197.00,1,0,0,1,3.28,4.545,53,12.998,0,1,1
198.00,1,0,0,1,4.1,4.545,49,19.0012,0,1,1
199.00,1,0,0,1,3.28,4.545,53,12.998,1,5,6
200.00,1,0,0,1,4.1,4.545,49,19.0012,0,10,10
201.00,1,0,0,1,4.92,3.79,46,35.0008,0,19,19
202.00,1,0,0,1,5.74,5.305,43,26.0027,0,49,49
203.00,1,0,0,1,6.56,6.06,40,35.0008,2,47,49
204.00,1,0,0,1,7.38,6.82,37,30.0026,4,79,83
205.00,1,0,0,1,8.2,8.335,34,30.0026,6,69,75
206.00,1,0,0,1,9.02,9.09,32,31.0009,8,64,72
207.00,1,0,0,1,9.02,9.85,35,23.9994,5,77,82
208.00,1,0,0,1,8.2,8.335,34,30.0026,13,79,92
209.00,1,0,0,1,7.38,7.575,37,26.0027,3,59,62
210.00,1,0,0,1,6.56,6.82,40,22.0028,4,44,48
211.00,1,0,0,1,6.56,6.82,43,22.0028,1,40,41
212.00,1,0,0,1,5.74,6.06,46,16.9979,0,38,38
213.00,1,0,0,1,5.74,5.305,46,27.9993,1,19,20
214.00,1,0,0,1,5.74,6.06,46,19.9995,5,10,15
215.00,1,0,0,1,4.92,6.82,50,12.998,0,6,6
216.00,1,0,1,1,4.92,6.06,50,19.0012,2,3,5
217.00,1,0,1,1,4.92,6.06,50,19.0012,1,0,1
218.00,1,0,1,1,4.92,6.06,50,15.0013,0,3,3
219.00,1,0,1,1,4.92,6.06,50,15.0013,0,1,1
220.00,1,0,1,1,4.1,6.06,54,8.9981,1,2,3
221.00,1,0,1,1,4.1,5.305,54,16.9979,0,3,3
222.00,1,0,1,1,4.92,6.06,50,19.0012,0,31,31
223.00,1,0,1,1,4.92,6.06,50,15.0013,2,75,77
224.00,1,0,1,2,4.92,6.06,50,19.0012,4,184,188
225.00,1,0,1,2,5.74,6.06,50,16.9979,2,92,94
226.00,1,0,1,2,5.74,6.06,50,19.9995,0,31,31
227.00,1,0,1,2,6.56,6.82,47,19.0012,2,28,30
228.00,1,0,1,2,8.2,9.09,40,19.0012,5,47,52
229.00,1,0,1,2,8.2,9.09,40,19.0012,4,50,54
230.00,1,0,1,2,8.2,9.85,40,15.0013,0,47,47
231.00,1,0,1,2,8.2,9.85,40,15.0013,2,43,45
232.00,1,0,1,1,8.2,10.605,40,8.9981,4,70,74
233.00,1,0,1,1,8.2,11.365,40,7.0015,4,174,178
234.00,1,0,1,1,8.2,9.85,40,15.0013,1,154,155
235.00,1,0,1,1,6.56,8.335,47,11.0014,3,92,95
236.00,1,0,1,1,6.56,8.335,50,11.0014,1,73,74
237.00,1,0,1,1,5.74,6.82,59,12.998,1,37,38
238.00,1,0,1,1,5.74,7.575,59,11.0014,2,22,24
239.00,1,0,1,1,5.74,7.575,59,11.0014,0,18,18
240.00,1,0,1,1,5.74,8.335,59,7.0015,2,10,12
241.00,1,0,1,1,5.74,7.575,59,11.0014,0,3,3
242.00,1,0,1,2,6.56,7.575,55,12.998,0,3,3
245.00,1,0,1,2,6.56,9.09,55,8.9981,0,6,6
246.00,1,0,1,2,6.56,9.09,55,8.9981,0,27,27
247.00,1,0,1,2,6.56,11.365,55,0,2,97,99
248.00,1,0,1,2,7.38,10.605,51,6.0032,3,214,217
249.00,1,0,1,2,7.38,9.85,51,11.0014,3,127,130
250.00,1,0,1,2,8.2,10.605,51,11.0014,3,51,54
251.00,1,0,1,2,8.2,10.605,47,8.9981,4,31,35
252.00,1,0,1,2,8.2,11.365,51,7.0015,2,55,57
253.00,1,0,1,2,8.2,11.365,59,6.0032,6,46,52
254.00,1,0,1,2,8.2,11.365,59,6.0032,3,60,63
255.00,1,0,1,2,6.56,9.85,80,6.0032,2,45,47
256.00,1,0,1,2,6.56,7.575,86,15.0013,4,72,76
257.00,1,0,1,2,6.56,7.575,86,15.0013,6,130,136
258.00,1,0,1,3,6.56,9.09,93,7.0015,1,94,95
259.00,1,0,1,3,6.56,11.365,93,0,0,51,51
260.00,1,0,1,3,6.56,7.575,93,12.998,0,32,32
261.00,1,0,1,3,6.56,9.85,86,6.0032,0,20,20
262.00,1,0,1,3,6.56,9.09,93,7.0015,1,28,29
263.00,1,0,1,3,6.56,9.85,93,6.0032,1,18,19
264.00,1,0,1,2,6.56,9.85,86,6.0032,0,7,7
265.00,1,0,1,2,6.56,9.09,86,7.0015,0,6,6
266.00,1,0,1,1,5.74,7.575,86,8.9981,0,1,1
269.00,1,0,1,1,5.74,7.575,86,11.0014,0,5,5
270.00,1,0,1,1,4.92,7.575,93,8.9981,0,16,16
271.00,1,0,1,1,5.74,7.575,69,8.9981,0,54,54
272.00,1,0,1,1,6.56,8.335,59,11.0014,3,125,128
273.00,1,0,1,1,6.56,6.82,59,22.0028,3,78,81
274.00,1,0,1,1,7.38,9.09,55,15.0013,0,39,39
275.00,1,0,1,1,8.2,9.09,51,26.0027,3,32,35
276.00,1,0,1,1,8.2,7.575,47,39.0007,3,52,55
277.00,1,0,1,1,9.02,9.85,44,23.9994,0,49,49
278.00,1,0,1,1,8.2,9.09,47,22.0028,0,44,44
279.00,1,0,1,1,8.2,8.335,47,27.9993,1,48,49
280.00,1,0,1,1,9.02,9.85,44,22.0028,5,63,68
281.00,1,0,1,1,8.2,9.09,47,23.9994,0,139,139
282.00,1,0,1,1,8.2,7.575,47,35.0008,2,135,137
283.00,1,0,1,1,7.38,7.575,47,27.9993,1,82,83
284.00,1,0,1,1,6.56,6.82,50,22.0028,2,54,56
285.00,1,0,1,1,6.56,6.82,55,22.0028,0,57,57
286.00,1,0,1,1,6.56,6.06,55,30.0026,1,32,33
287.00,1,0,1,1,5.74,5.305,59,27.9993,1,19,20
288.00,1,0,1,1,5.74,6.06,59,19.0012,1,6,7
289.00,1,0,1,1,5.74,6.06,50,19.0012,0,2,2
290.00,1,0,1,1,5.74,6.06,50,23.9994,0,2,2
291.00,1,0,1,1,5.74,6.06,50,22.0028,0,3,3
292.00,1,0,1,1,5.74,6.06,50,16.9979,0,4,4
293.00,1,0,1,1,5.74,6.06,50,19.9995,0,3,3
294.00,1,0,1,1,4.92,7.575,54,8.9981,0,28,28
295.00,1,0,1,1,4.92,7.575,54,8.9981,0,72,72
296.00,1,0,1,1,5.74,6.82,50,12.998,5,197,202
297.00,1,0,1,1,5.74,6.06,50,22.0028,2,137,139
298.00,1,0,1,2,6.56,6.82,50,23.9994,2,36,38
299.00,1,0,1,2,8.2,8.335,44,30.0026,4,33,37
300.00,1,0,1,1,8.2,8.335,44,27.9993,3,49,52
301.00,1,0,1,1,9.02,9.85,41,30.0026,2,81,83
302.00,1,0,1,1,9.02,9.85,41,26.0027,3,39,42
303.00,1,0,1,1,9.84,10.605,38,19.9995,5,55,60
304.00,1,0,1,1,9.84,10.605,38,23.9994,2,76,78
305.00,1,0,1,1,8.2,9.09,40,19.0012,4,158,162
306.00,1,0,1,1,8.2,9.09,40,22.0028,3,141,144
307.00,1,0,1,1,6.56,7.575,47,16.9979,1,98,99
308.00,1,0,1,1,6.56,7.575,47,15.0013,0,64,64
309.00,1,0,1,1,5.74,6.06,46,19.9995,0,40,40
310.00,1,0,1,1,5.74,6.06,46,22.0028,0,30,30
311.00,1,0,1,1,4.92,6.82,50,12.998,1,14,15
312.00,1,0,1,1,4.92,6.82,50,12.998,0,14,14
313.00,1,0,1,1,4.1,6.06,54,11.0014,0,5,5
314.00,1,0,1,1,4.1,6.06,54,8.9981,0,1,1
315.00,1,0,1,1,4.1,6.82,54,7.0015,0,1,1
317.00,1,0,1,1,4.1,6.82,54,6.0032,0,8,8
318.00,1,0,1,1,4.1,9.09,54,0,0,17,17
319.00,1,0,1,1,4.1,6.06,74,11.0014,0,70,70
320.00,1,0,1,1,4.92,8.335,68,0,2,156,158
321.00,1,0,1,1,5.74,7.575,69,8.9981,0,117,117
322.00,1,0,1,1,7.38,9.09,55,12.998,4,40,44
323.00,1,0,1,1,7.38,8.335,51,19.0012,6,47,53
324.00,1,0,1,1,8.2,9.85,44,16.9979,2,59,61
325.00,1,0,1,1,9.02,9.85,37,26.0027,4,73,77
326.00,1,0,1,1,9.02,10.605,41,19.0012,5,59,64
327.00,1,0,1,1,9.84,12.12,38,11.0014,9,59,68
328.00,1,0,1,1,9.02,12.12,41,7.0015,3,87,90
329.00,1,0,1,1,9.02,11.365,41,11.0014,4,155,159
330.00,1,0,1,1,8.2,12.88,47,0,5,134,139
331.00,1,0,1,1,6.56,9.85,59,6.0032,3,89,92
332.00,1,0,1,1,7.38,12.12,59,0,0,68,68
333.00,1,0,1,1,6.56,11.365,69,0,4,48,52
334.00,1,0,1,2,6.56,11.365,69,0,2,34,36
335.00,1,0,1,2,7.38,12.12,55,0,1,26,27
336.00,1,0,0,1,7.38,12.12,55,0,3,25,28
337.00,1,0,0,2,6.56,9.85,59,6.0032,2,18,20
338.00,1,0,0,2,6.56,9.85,59,6.0032,0,12,12
339.00,1,0,0,2,6.56,11.365,59,0,1,7,8
340.00,1,0,0,2,6.56,11.365,59,0,0,5,5
341.00,1,0,0,1,6.56,11.365,59,0,0,1,1
342.00,1,0,0,1,5.74,8.335,63,7.0015,1,2,3
343.00,1,0,0,1,5.74,10.605,63,0,1,9,10
344.00,1,0,0,1,5.74,7.575,63,8.9981,1,22,23
345.00,1,0,0,1,6.56,9.09,64,8.9981,2,31,33
346.00,1,0,0,1,7.38,9.85,59,11.0014,2,57,59
347.00,1,0,0,1,8.2,9.85,55,15.0013,18,54,72
348.00,1,0,0,1,9.84,11.365,48,15.0013,15,74,89
349.00,1,0,0,1,11.48,12.88,38,19.9995,21,80,101
350.00,1,0,0,1,12.3,14.395,39,19.0012,26,92,118
351.00,1,0,0,2,13.12,15.91,36,12.998,21,108,129
352.00,1,0,0,2,13.94,16.665,34,12.998,33,95,128
353.00,1,0,0,2,13.12,15.15,36,19.0012,29,54,83
354.00,1,0,0,2,12.3,14.395,45,16.9979,15,69,84
355.00,1,0,0,2,13.12,15.15,39,16.9979,14,60,74
356.00,1,0,0,2,13.12,15.15,39,16.9979,6,35,41
357.00,1,0,0,2,13.12,15.15,39,15.0013,6,51,57
358.00,1,0,0,2,12.3,15.91,42,7.0015,0,26,26
359.00,1,0,0,1,12.3,14.395,45,19.0012,5,39,44
360.00,1,0,0,1,10.66,15.15,56,0,6,33,39
361.00,1,0,0,1,10.66,13.635,56,8.9981,4,19,23
362.00,1,0,0,1,10.66,14.395,56,6.0032,3,13,16
363.00,1,0,0,1,9.02,13.635,69,0,9,6,15
364.00,1,0,0,1,10.66,12.88,56,11.0014,0,1,1
365.00,1,0,0,2,10.66,12.88,56,11.0014,1,1,2
366.00,1,0,0,2,10.66,12.88,56,11.0014,0,1,1
367.00,1,0,0,2,9.84,10.605,56,19.9995,0,3,3
368.00,1,0,0,1,9.02,10.605,55,19.0012,0,18,18
369.00,1,0,0,1,9.02,10.605,51,16.9979,3,29,32
370.00,1,0,0,1,9.02,10.605,51,19.0012,8,71,79
371.00,1,0,0,1,9.84,11.365,44,16.9979,23,70,93
372.00,1,0,0,1,9.84,10.605,41,19.0012,29,75,104
373.00,1,0,0,1,10.66,11.365,35,19.9995,23,95,118
374.00,1,0,0,1,11.48,13.635,36,16.9979,22,69,91
375.00,1,0,0,1,10.66,12.12,38,16.9979,35,78,113
376.00,1,0,0,1,9.84,11.365,38,15.0013,22,77,99
377.00,1,0,0,1,9.02,10.605,37,16.9979,23,82,105
378.00,1,0,0,1,8.2,10.605,40,11.0014,11,56,67
379.00,1,0,0,1,7.38,9.85,47,8.9981,14,47,61
380.00,1,0,0,1,7.38,9.85,47,11.0014,7,50,57
381.00,1,0,0,1,7.38,9.85,51,11.0014,6,22,28
382.00,1,0,0,2,8.2,10.605,49,8.9981,2,19,21
383.00,1,0,0,2,8.2,11.365,40,7.0015,0,18,18
384.00,1,1,0,2,8.2,9.85,47,15.0013,1,16,17
385.00,1,1,0,2,8.2,9.85,44,12.998,1,15,16
386.00,1,1,0,2,7.38,8.335,43,16.9979,0,8,8
387.00,1,1,0,2,7.38,9.09,43,12.998,0,2,2
388.00,1,1,0,2,7.38,9.85,43,8.9981,1,2,3
389.00,1,1,0,2,7.38,9.85,43,11.0014,0,1,1
390.00,1,1,0,2,7.38,9.09,43,12.998,0,5,5
391.00,1,1,0,2,6.56,9.09,50,8.9981,4,9,13
392.00,1,1,0,2,6.56,7.575,47,15.0013,3,30,33
393.00,1,1,0,2,6.56,7.575,47,15.0013,8,39,47
394.00,1,1,0,2,6.56,7.575,50,16.9979,7,50,57
395.00,1,1,0,2,6.56,7.575,55,12.998,9,55,64
396.00,1,1,0,2,7.38,9.85,47,8.9981,10,70,80
397.00,1,1,0,2,7.38,9.85,47,8.9981,13,80,93
398.00,1,1,0,2,7.38,10.605,43,7.0015,12,74,86
399.00,1,1,0,2,8.2,10.605,47,11.0014,21,72,93
400.00,1,1,0,2,8.2,10.605,47,11.0014,6,76,82
401.00,1,1,0,1,8.2,9.85,51,12.998,4,67,71
402.00,1,1,0,2,7.38,8.335,55,16.9979,7,85,92
403.00,1,1,0,3,7.38,9.09,59,12.998,2,58,60
404.00,1,1,0,3,6.56,7.575,80,12.998,4,29,33
405.00,1,1,0,3,6.56,7.575,80,12.998,3,24,27
406.00,1,1,0,3,5.74,6.06,93,16.9979,0,13,13
407.00,1,1,0,3,6.56,6.82,86,19.0012,1,3,4
420.00,1,0,1,2,8.2,9.09,86,22.0028,0,3,3
421.00,1,0,1,2,8.2,9.85,86,15.0013,0,22,22
422.00,1,0,1,2,9.02,11.365,80,11.0014,2,26,28
423.00,1,0,1,2,9.02,11.365,87,11.0014,3,32,35
424.00,1,0,1,2,9.02,11.365,87,12.998,0,61,61
425.00,1,0,1,2,9.02,11.365,82,12.998,1,124,125
426.00,1,0,1,2,9.02,11.365,80,11.0014,1,132,133
427.00,1,0,1,2,9.02,11.365,80,8.9981,1,98,99
428.00,1,0,1,2,9.02,13.635,87,0,0,83,83
429.00,1,0,1,2,9.02,12.12,93,7.0015,0,41,41
430.00,1,0,1,2,9.02,12.88,93,6.0032,0,33,33
431.00,1,0,1,2,9.02,13.635,93,0,1,19,20
432.00,1,0,1,2,9.02,13.635,93,0,0,3,3
433.00,1,0,1,3,9.02,11.365,93,8.9981,1,6,7
434.00,1,0,1,3,9.02,11.365,93,8.9981,0,3,3
436.00,1,0,1,3,9.02,11.365,93,8.9981,1,1,2
437.00,1,0,1,2,9.02,12.88,93,6.0032,0,7,7
438.00,1,0,1,2,9.02,12.88,93,6.0032,0,32,32
439.00,1,0,1,2,9.84,12.88,92,7.0015,1,89,90
440.00,1,0,1,2,9.84,12.88,93,7.0015,1,196,197
441.00,1,0,1,2,9.84,12.88,93,7.0015,2,107,109
442.00,1,0,1,2,10.66,13.635,93,8.9981,1,46,47
443.00,1,0,1,2,11.48,15.15,87,6.0032,5,47,52
444.00,1,0,1,2,12.3,15.91,81,6.0032,5,65,70
445.00,1,0,1,1,16.4,20.455,62,19.0012,11,67,78
446.00,1,0,1,1,16.4,20.455,58,16.9979,7,68,75
447.00,1,0,1,1,16.4,20.455,54,19.0012,4,78,82
448.00,1,0,1,1,15.58,19.695,58,26.0027,10,94,104
449.00,1,0,1,1,14.76,16.665,57,22.0028,7,190,197
450.00,1,0,1,1,13.94,15.91,61,19.0012,5,156,161
